Year,First place,Second place,Third place
1993,GER,ITA,BRA
1994,BRA,ESP,SWE
1995,BRA,GER,ITA
1996,BRA,GER,FRA
1997,BRA,GER,CZE
1998,BRA,FRA,GER
1999,BRA,CZE,FRA
2000,BRA,FRA,ARG
2001,FRA,ARG,BRA
2002,BRA,FRA,ESP
2003,BRA,FRA,ESP
2004,BRA,FRA,ARG
2005,BRA,CZE,NED
2006,BRA,ITA,ARG
2007,ARG,BRA,ITA
2008,ESP,GER,NED
2009,ESP,BRA,NED
2010,ESP,NED,GER
2011,ESP,NED,GER
2012,ESP,GER,ARG
2013,ESP,GER,ARG
2014,GER,ARG,COL
2015,BEL,ARG,ESP
2016,ARG,BRA,GER
2017,GER,BRA,POR
2018,BEL,FRA,BRA
2019,BEL,FRA,BRA
